Transaction_ID,Customer_ID,Transaction_Number,Amount,Transaction_Type,Transaction_Hour,Location,Usual_Location,Device_Type,New_Device,Account_Age_Days,Previous_Transaction_Amount,Average_Previous_Amount,Amount_Deviation,Amount_Ratio,Transactions_Last_24H,Failed_Attempts,International_Transaction,Unusual_Location,Fraud_Probability,Fraud_Label,Risk_Score,Risk_Level
TXN100034,CUST002,2,11015.57,Transfer,8,Mangalore,Mangalore,iPhone,0,668,3535.67,3535.67,7479.9,3.12,1,0,0,0,0.0222,0,2,Low
TXN100035,CUST002,3,1381.23,Transfer,13,Mangalore,Mangalore,iPhone,0,668,11015.57,7275.62,-5894.39,0.19,0,0,0,0,0.0166,0,2,Low
TXN100036,CUST002,4,4270.51,ATM Withdrawal,15,Mangalore,Mangalore,iPhone,0,668,1381.23,5310.82,-1040.31,0.8,4,0,0,0,0.0087,0,1,Low
TXN100037,CUST002,5,1641.77,Purchase,14,Mangalore,Mangalore,iPhone,0,668,4270.51,5050.74,-3408.98,0.33,1,0,0,0,0.0103,0,1,Low
TXN100038,CUST002,6,2295.91,Bill Payment,11,Mangalore,Mangalore,iPhone,0,668,1641.77,4368.95,-2073.04,0.53,3,0,0,0,0.0012,0,0,Low
TXN100039,CUST002,7,1035.26,ATM Withdrawal,22,Mangalore,Mangalore,iPhone,0,668,2295.91,4023.44,-2988.18,0.26,2,0,0,0,0.0125,0,1,Low
TXN100040,CUST002,8,6804.15,Bill Payment,20,Hassan,Mangalore,iPhone,0,668,1035.26,3596.56,3207.59,1.89,1,0,0,1,0.0238,0,2,Low
TXN100041,CUST002,9,3831.63,Online Payment,13,Mangalore,Mangalore,iPhone,0,668,6804.15,3997.51,-165.88,0.96,1,0,0,0,0.0017,0,0,Low
TXN100042,CUST002,10,2421.96,ATM Withdrawal,10,Mangalore,Mangalore,iPhone,0,668,3831.63,3979.08,-1557.12,0.61,1,0,0,0,0.0125,0,1,Low
TXN100043,CUST002,11,2338.87,Transfer,14,Mangalore,Mangalore,iPhone,0,668,2421.96,3823.36,-1484.49,0.61,3,0,0,0,0.0078,0,1,Low
TXN100044,CUST002,12,2574.1,Purchase,16,Mangalore,Mangalore,iPhone,0,668,2338.87,3703.68,-1129.58,0.7,3,0,0,0,0.0046,0,0,Low
TXN100045,CUST002,13,3616.54,Bill Payment,22,Mangalore,Mangalore,iPhone,0,668,2574.1,2859.54,757.0,1.26,4,0,0,0,0.0048,0,0,Low
TXN100046,CUST002,14,2167.83,Bill Payment,22,Bangalore,Mangalore,iPhone,0,668,3616.54,3083.07,-915.23,0.7,1,0,0,1,0.0366,0,4,Low
TXN100047,CUST002,15,1899.02,Purchase,22,Mangalore,Mangalore,iPhone,0,668,2167.83,2872.8,-973.78,0.66,3,0,1,0,0.0093,0,1,Low
TXN100048,CUST002,16,4541.49,Bill Payment,1,Mangalore,Mangalore,iPhone,0,668,1899.02,2898.53,1642.96,1.57,0,0,0,0,0.55,1,55,Medium
TXN100049,CUST002,17,2333.71,ATM Withdrawal,11,Mangalore,Mangalore,iPhone,0,668,4541.49,3123.08,-789.38,0.75,2,0,0,0,0.0031,0,0,Low
TXN100050,CUST002,18,4259.66,Purchase,22,Mangalore,Mangalore,iPhone,0,668,2333.71,3252.93,1006.73,1.31,5,0,0,0,0.008,0,1,Low
TXN100051,CUST002,19,2313.61,Transfer,6,Mangalore,Mangalore,iPhone,0,668,4259.66,2998.48,-684.87,0.77,4,0,0,0,0.0111,0,1,Low
TXN100052,CUST002,20,1213.29,Purchase,18,Mangalore,Mangalore,iPhone,0,668,2313.61,2846.68,-1633.39,0.43,1,1,0,0,0.0107,0,1,Low
TXN100053,CUST002,21,2034.83,Online Payment,19,Mangalore,Mangalore,iPhone,0,668,1213.29,2725.81,-690.98,0.75,3,0,0,0,0.0061,0,1,Low
TXN100054,CUST002,22,1668.48,Online Payment,14,Mangalore,Mangalore,iPhone,0,668,2034.83,2695.41,-1026.93,0.62,0,0,0,0,0.0045,0,0,Low
TXN100055,CUST002,23,5647.62,Transfer,11,Mangalore,Mangalore,iPhone,0,668,1668.48,2604.85,3042.78,2.17,2,0,0,0,0.0081,0,1,Low
TXN100056,CUST002,24,1033.56,Transfer,20,Mangalore,Mangalore,iPhone,0,668,5647.62,2807.95,-1774.39,0.37,3,0,0,0,0.0031,0,0,Low
TXN100057,CUST002,25,3820.38,Transfer,9,Mangalore,Mangalore,iPhone,0,668,1033.56,2694.53,1125.86,1.42,1,0,0,0,0.009,0,1,Low
TXN100058,CUST002,26,6179.85,Purchase,6,Mangalore,Mangalore,iPhone,0,668,3820.38,2886.66,3293.18,2.14,2,1,0,0,0.0114,0,1,Low
TXN100059,CUST002,27,10815.32,Transfer,20,Mangalore,Mangalore,Android,1,668,6179.85,3050.5,7764.82,3.55,3,0,0,0,0.1205,0,12,Low
TXN100060,CUST002,28,3015.08,Transfer,11,Mangalore,Mangalore,iPhone,0,668,10815.32,3898.66,-883.58,0.77,2,0,0,0,0.0096,0,1,Low
TXN100061,CUST002,29,2969.88,Purchase,8,Mangalore,Mangalore,iPhone,0,668,3015.08,3774.2,-804.32,0.79,1,0,0,0,0.0145,0,1,Low
TXN100062,CUST002,30,1758.23,Purchase,21,Mangalore,Mangalore,iPhone,0,668,2969.88,3839.83,-2081.6,0.46,3,0,0,0,0.0161,0,2,Low
TXN100063,CUST002,31,3653.93,Transfer,10,Mangalore,Mangalore,iPhone,0,668,1758.23,3894.32,-240.39,0.94,5,0,0,0,0.0192,0,2,Low
TXN100064,CUST002,32,3410.49,ATM Withdrawal,7,Chennai,Mangalore,iPhone,0,668,3653.93,4056.23,-645.75,0.84,2,1,0,1,0.0104,0,1,Low
TXN100065,CUST002,33,502.54,Bill Payment,18,Hyderabad,Mangalore,iPhone,0,668,3410.49,4230.44,-3727.89,0.12,2,1,0,1,0.0124,0,1,Low
TXN100066,CUST002,34,2922.38,Online Payment,9,Mangalore,Mangalore,iPhone,0,668,502.54,3715.93,-793.55,0.79,3,0,0,0,0.0052,0,1,Low
TXN100067,CUST002,35,3422.42,Transfer,21,Mangalore,Mangalore,iPhone,0,668,2922.38,3904.81,-482.39,0.88,1,0,0,0,0.0125,0,1,Low
TXN100068,CUST002,36,4901.02,Purchase,7,Mangalore,Mangalore,iPhone,0,668,3422.42,3865.01,1036.01,1.27,1,0,0,0,0.0098,0,1,Low
TXN100069,CUST002,37,2832.8,Purchase,22,Mangalore,Mangalore,iPhone,0,668,4901.02,3737.13,-904.33,0.76,7,0,0,0,0.0329,0,3,Low
TXN100070,CUST002,38,2928.09,Purchase,20,Mangalore,Mangalore,iPhone,0,668,2832.8,2938.88,-10.79,1.0,2,0,0,0,0.003,0,0,Low
TXN100071,CUST002,39,10896.77,Online Payment,18,Mangalore,Mangalore,iPhone,0,668,2928.09,2930.18,7966.59,3.72,1,0,0,0,0.0111,0,1,Low
TXN100072,CUST002,40,7263.55,Online Payment,13,Mangalore,Mangalore,iPhone,0,668,10896.77,3722.87,3540.68,1.95,2,0,0,0,0.0088,0,1,Low
TXN100073,CUST002,41,2455.42,Transfer,14,Mangalore,Mangalore,iPhone,0,668,7263.55,4273.4,-1817.98,0.57,1,2,0,0,0.0673,0,7,Low
TXN100074,CUST002,42,5013.59,Purchase,15,Mangalore,Mangalore,iPhone,0,668,2455.42,4153.55,860.04,1.21,3,0,0,0,0.0101,0,1,Low
TXN100075,CUST002,43,3894.89,Purchase,19,Mangalore,Mangalore,iPhone,0,668,5013.59,4313.86,-418.96,0.9,1,0,0,0,0.0342,0,3,Low
TXN100076,CUST002,44,2790.23,ATM Withdrawal,19,Mangalore,Mangalore,Windows,1,668,3894.89,4653.09,-1862.86,0.6,2,0,0,0,0.0222,0,2,Low
TXN100077,CUST002,45,5855.1,Bill Payment,12,Mangalore,Mangalore,iPhone,0,668,2790.23,4639.88,1215.23,1.26,4,0,0,0,0.0104,0,1,Low
TXN100078,CUST002,46,2086.44,Transfer,13,Mumbai,Mangalore,Windows,1,668,5855.1,4883.15,-2796.71,0.43,2,0,0,1,0.0854,0,9,Low
TXN100079,CUST002,47,2181.18,Transfer,14,Mysore,Mangalore,iPhone,0,668,2086.44,4601.69,-2420.51,0.47,1,0,0,1,0.0172,0,2,Low
TXN100080,CUST002,48,973.81,Bill Payment,6,Mangalore,Mangalore,iPhone,0,668,2181.18,4536.53,-3562.72,0.21,2,0,0,0,0.0122,0,1,Low
TXN100081,CUST002,49,2253.28,ATM Withdrawal,21,Mangalore,Mangalore,iPhone,0,668,973.81,4341.1,-2087.82,0.52,2,0,0,0,0.0093,0,1,Low
TXN100082,CUST002,50,1987.19,ATM Withdrawal,6,Mangalore,Mangalore,iPhone,0,668,2253.28,3476.75,-1489.56,0.57,4,0,0,0,0.0047,0,0,Low
TXN100083,CUST002,51,2500.84,Bill Payment,21,Mangalore,Mangalore,iPhone,0,668,1987.19,2949.11,-448.27,0.85,3,0,0,0,0.0088,0,1,Low
TXN100084,CUST002,52,1878.42,Online Payment,12,Mangalore,Mangalore,iPhone,0,668,2500.84,2953.66,-1075.23,0.64,0,0,0,0,0.0206,0,2,Low
TXN100085,CUST002,53,1577.6,Online Payment,19,Mangalore,Mangalore,iPhone,0,668,1878.42,2640.14,-1062.54,0.6,1,0,0,0,0.0205,0,2,Low
TXN100086,CUST003,1,5857.69,Bill Payment,21,Delhi,Delhi,Windows,0,569,0.0,3831.08,2026.61,1.53,3,0,0,0,0.0179,0,2,Low
TXN100087,CUST003,2,5710.53,Transfer,18,Pune,Delhi,Windows,0,569,5857.69,5857.69,-147.17,0.97,0,0,0,1,0.0341,0,3,Low
TXN100088,CUST003,3,3210.92,Bill Payment,19,Delhi,Delhi,Windows,0,569,5710.53,5784.11,-2573.19,0.56,2,1,0,0,0.0065,0,1,Low
TXN100089,CUST003,4,3286.61,Transfer,7,Delhi,Delhi,Windows,0,569,3210.92,4926.38,-1639.77,0.67,0,0,0,0,0.0077,0,1,Low
TXN100090,CUST003,5,9405.14,Bill Payment,20,Delhi,Delhi,Windows,0,569,3286.61,4516.44,4888.7,2.08,2,0,0,0,0.0082,0,1,Low
TXN100091,CUST003,6,5999.73,Bill Payment,12,Delhi,Delhi,Windows,0,569,9405.14,5494.18,505.55,1.09,0,0,0,0,0.0158,0,2,Low
TXN100092,CUST003,7,4116.67,Transfer,22,Delhi,Delhi,Windows,0,569,5999.73,5578.44,-1461.77,0.74,4,0,0,0,0.0031,0,0,Low
TXN100093,CUST003,8,3024.72,Purchase,15,Delhi,Delhi,Windows,0,569,4116.67,5369.61,-2344.9,0.56,2,0,0,0,0.0029,0,0,Low
TXN100094,CUST003,9,6677.16,Purchase,12,Delhi,Delhi,Windows,0,569,3024.72,5076.5,1600.66,1.32,1,0,0,0,0.0067,0,1,Low
TXN100095,CUST003,10,6238.41,Online Payment,8,Hassan,Delhi,Windows,0,569,6677.16,5254.35,984.06,1.19,2,0,0,1,0.0111,0,1,Low
TXN100096,CUST003,11,2471.71,Online Payment,13,Delhi,Delhi,Windows,0,569,6238.41,5352.76,-2881.05,0.46,1,0,0,0,0.0144,0,1,Low
TXN100097,CUST003,12,1180.86,Purchase,21,Chennai,Delhi,Windows,0,569,2471.71,5014.16,-3833.3,0.24,1,1,0,1,0.0492,0,5,Low
TXN100098,CUST003,13,2633.53,Purchase,22,Delhi,Delhi,Windows,0,569,1180.86,4561.19,-1927.66,0.58,2,2,0,0,0.0255,0,3,Low
TXN100099,CUST003,14,10505.18,Purchase,15,Delhi,Delhi,Windows,0,569,2633.53,4503.46,6001.73,2.33,3,0,0,0,0.0138,0,1,Low
TXN100100,CUST003,15,2282.23,Transfer,12,Delhi,Delhi,Windows,0,569,10505.18,5225.31,-2943.08,0.44,3,0,0,0,0.006,0,1,Low
TXN100101,CUST003,16,3554.0,Bill Payment,12,Delhi,Delhi,Windows,0,569,2282.23,4513.02,-959.03,0.79,4,2,0,0,0.0305,0,3,Low
TXN100102,CUST003,17,3324.86,Transfer,6,Delhi,Delhi,Windows,0,569,3554.0,4268.45,-943.59,0.78,4,0,0,0,0.008,0,1,Low
TXN100103,CUST003,18,959.99,Bill Payment,15,Delhi,Delhi,Windows,0,569,3324.86,4189.27,-3229.28,0.23,4,0,0,0,0.0021,0,0,Low
TXN100104,CUST003,19,629.68,Transfer,14,Delhi,Delhi,Windows,0,569,959.99,3982.79,-3353.12,0.16,1,0,0,0,0.0106,0,1,Low
TXN100105,CUST003,20,8305.48,Transfer,20,Delhi,Delhi,Windows,0,569,629.68,3378.05,4927.43,2.46,1,0,0,0,0.0208,0,2,Low
TXN100106,CUST003,21,1130.27,Purchase,14,Delhi,Delhi,Windows,0,569,8305.48,3584.75,-2454.48,0.32,0,2,0,0,0.0313,0,3,Low
TXN100107,CUST003,22,2280.79,ATM Withdrawal,7,Delhi,Delhi,Windows,0,569,1130.27,3450.61,-1169.82,0.66,1,0,0,0,0.0356,0,4,Low
TXN100108,CUST003,23,5521.36,Purchase,17,Delhi,Delhi,Windows,0,569,2280.79,3560.6,1960.76,1.55,1,0,0,0,0.011,0,1,Low
TXN100109,CUST003,24,6950.05,Transfer,21,Delhi,Delhi,Windows,0,569,5521.36,3849.38,3100.67,1.81,2,0,0,0,0.0191,0,2,Low
TXN100110,CUST003,25,3771.05,Online Payment,18,Delhi,Delhi,Windows,0,569,6950.05,3493.87,277.18,1.08,6,0,0,0,0.0053,0,1,Low
TXN100111,CUST003,26,2475.4,Transfer,7,Delhi,Delhi,Windows,0,569,3771.05,3642.75,-1167.35,0.68,1,0,0,0,0.0269,0,3,Low
TXN100112,CUST003,27,3355.17,Purchase,14,Pune,Delhi,Android,1,569,2475.4,3534.89,-179.73,0.95,0,0,0,1,0.0806,0,8,Low
TXN100113,CUST003,28,1382.64,ATM Withdrawal,16,Delhi,Delhi,Windows,0,569,3355.17,3537.92,-2155.29,0.39,2,0,0,0,0.0152,0,2,Low
TXN100114,CUST003,29,4310.27,Purchase,19,Delhi,Delhi,Windows,0,569,1382.64,3580.19,730.08,1.2,2,0,0,0,0.0069,0,1,Low
TXN100115,CUST003,30,2878.17,Transfer,7,Delhi,Delhi,Windows,0,569,4310.27,3948.25,-1070.08,0.73,3,0,0,0,0.0205,0,2,Low
TXN100116,CUST003,31,2605.32,Online Payment,6,Mysore,Delhi,Windows,0,569,2878.17,3405.52,-800.2,0.77,0,1,0,1,0.017,0,2,Low
TXN100117,CUST003,32,4832.7,Transfer,16,Delhi,Delhi,Windows,0,569,2605.32,3553.02,1279.67,1.36,3,0,0,0,0.0036,0,0,Low
TXN100118,CUST003,33,3797.82,Purchase,9,Delhi,Delhi,Windows,0,569,4832.7,3808.21,-10.4,1.0,3,2,0,0,0.0697,0,7,Low
TXN100119,CUST003,34,6779.37,Purchase,14,Mumbai,Delhi,Windows,0,569,3797.82,3635.86,3143.52,1.86,1,0,0,1,0.0216,0,2,Low
TXN100120,CUST003,35,1814.1,Bill Payment,17,Delhi,Delhi,Windows,0,569,6779.37,3618.79,-1804.69,0.5,3,0,0,0,0.0071,0,1,Low
TXN100121,CUST003,36,4003.99,Purchase,10,Delhi,Delhi,Windows,0,569,1814.1,3423.1,580.89,1.17,2,0,0,0,0.0051,0,1,Low
TXN100122,CUST003,37,3389.55,Online Payment,16,Mumbai,Delhi,iPhone,1,569,4003.99,3575.95,-186.4,0.95,2,0,0,1,0.0999,0,10,Low
TXN100123,CUST003,38,2053.44,Purchase,15,Delhi,Delhi,Windows,0,569,3389.55,3579.39,-1525.95,0.57,6,0,0,0,0.014,0,1,Low
TXN100124,CUST003,39,2392.46,Purchase,15,Delhi,Delhi,Windows,0,569,2053.44,3646.47,-1254.01,0.66,4,0,0,0,0.0074,0,1,Low
TXN100125,CUST003,40,2535.82,Purchase,8,Delhi,Delhi,Windows,0,569,2392.46,3454.69,-918.87,0.73,2,0,0,0,0.0071,0,1,Low
TXN100126,CUST003,41,7477.17,Purchase,12,Delhi,Delhi,Windows,0,569,2535.82,3420.46,4056.71,2.19,1,0,0,0,0.0116,0,1,Low
TXN100127,CUST003,42,2019.6,Purchase,12,Delhi,Delhi,Windows,0,569,7477.17,3907.64,-1888.04,0.52,3,0,0,0,0.0109,0,1,Low
TXN100128,CUST003,43,7999.63,Bill Payment,21,Delhi,Delhi,Windows,0,569,2019.6,3626.33,4373.3,2.21,1,0,0,0,0.0248,0,2,Low
TXN100129,CUST003,44,3726.5,Purchase,21,Delhi,Delhi,Windows,0,569,7999.63,4046.51,-320.01,0.92,2,0,0,0,0.0101,0,1,Low
TXN100130,CUST003,45,4341.5,Purchase,8,Delhi,Delhi,Windows,0,569,3726.5,3741.23,600.27,1.16,3,1,0,0,0.0048,0,0,Low
TXN100131,CUST003,46,7214.76,Bill Payment,8,Delhi,Delhi,Windows,0,569,4341.5,3993.97,3220.79,1.81,5,0,0,0,0.0169,0,2,Low
TXN100132,CUST003,47,8762.84,Online Payment,15,Delhi,Delhi,Windows,0,569,7214.76,4315.05,4447.8,2.03,3,0,0,0,0.0132,0,1,Low
TXN100133,CUST003,48,8310.75,Transfer,22,Delhi,Delhi,Windows,0,569,8762.84,4852.37,3458.38,1.71,0,0,0,0,0.0098,0,1,Low
TXN100134,CUST003,49,1340.93,Bill Payment,12,Chennai,Delhi,Windows,0,569,8310.75,5478.11,-4137.17,0.24,3,0,0,1,0.0155,0,2,Low
TXN100135,CUST003,50,3494.67,Purchase,6,Delhi,Delhi,Windows,0,569,1340.93,5372.95,-1878.28,0.65,1,0,0,0,0.0033,0,0,Low
TXN100136,CUST004,1,3673.82,Purchase,15,Pune,Pune,Mac,0,2252,0.0,3218.36,455.47,1.14,5,0,0,0,0.0313,0,3,Low
TXN100137,CUST004,2,1666.34,Purchase,19,Pune,Pune,Mac,0,2252,3673.82,3673.82,-2007.49,0.45,3,0,0,0,0.0033,0,0,Low
TXN100138,CUST004,3,2281.53,Bill Payment,22,Pune,Pune,Mac,0,2252,1666.34,2670.08,-388.55,0.85,5,0,0,0,0.0068,0,1,Low
TXN100139,CUST004,4,4473.41,Purchase,19,Pune,Pune,Mac,0,2252,2281.53,2540.56,1932.85,1.76,3,0,0,0,0.0145,0,1,Low
TXN100140,CUST004,5,4843.26,Purchase,21,Pune,Pune,Mac,0,2252,4473.41,3023.77,1819.49,1.6,3,0,0,0,0.0054,0,1,Low
TXN100141,CUST004,6,1772.39,Purchase,13,Pune,Pune,Mac,0,2252,4843.26,3387.67,-1615.28,0.52,3,0,0,0,0.0243,0,2,Low
TXN100142,CUST004,7,8326.16,ATM Withdrawal,21,Pune,Pune,Mac,0,2252,1772.39,3118.46,5207.7,2.67,0,0,0,0,0.0096,0,1,Low
TXN100143,CUST004,8,1095.22,Purchase,13,Chennai,Pune,Mac,0,2252,8326.16,3862.42,-2767.2,0.28,0,0,0,1,0.0067,0,1,Low
TXN100144,CUST004,9,3136.36,Purchase,15,Pune,Pune,iPhone,1,2252,1095.22,3516.52,-380.16,0.89,2,0,0,0,0.0359,0,4,Low
TXN100145,CUST004,10,3203.5,Purchase,18,Pune,Pune,Mac,0,2252,3136.36,3474.28,-270.77,0.92,4,0,0,0,0.0134,0,1,Low
TXN100146,CUST004,11,8864.92,Transfer,14,Pune,Pune,Mac,0,2252,3203.5,3447.2,5417.72,2.57,4,0,0,0,0.019,0,2,Low
TXN100147,CUST004,12,3241.42,Purchase,12,Pune,Pune,Mac,0,2252,8864.92,3966.31,-724.89,0.82,2,0,0,0,0.004,0,0,Low
TXN100148,CUST004,13,4981.57,Purchase,11,Pune,Pune,Mac,0,2252,3241.42,4123.82,857.76,1.21,0,0,1,0,0.0348,0,3,Low
TXN100149,CUST004,14,6262.22,Purchase,16,Pune,Pune,Mac,0,2252,4981.57,4393.82,1868.4,1.43,1,0,0,0,0.0064,0,1,Low
TXN100150,CUST004,15,1611.18,ATM Withdrawal,9,Pune,Pune,Mac,0,2252,6262.22,4572.7,-2961.53,0.35,2,0,0,0,0.013,0,1,Low
TXN100151,CUST004,16,1612.13,ATM Withdrawal,18,Pune,Pune,Mac,0,2252,1611.18,4249.49,-2637.36,0.38,3,0,0,0,0.002,0,0,Low
TXN100152,CUST004,17,1599.42,Purchase,9,Pune,Pune,Mac,0,2252,1612.13,4233.47,-2634.05,0.38,3,1,0,0,0.0083,0,1,Low
TXN100153,CUST004,18,483.22,Purchase,22,Mysore,Pune,Android,1,2252,1599.42,3560.79,-3077.57,0.14,3,0,0,1,0.0352,0,4,Low
TXN100154,CUST004,19,2203.06,Purchase,20,Pune,Pune,Mac,0,2252,483.22,3499.59,-1296.54,0.63,2,0,0,0,0.0047,0,0,Low
TXN100155,CUST004,20,2072.27,Online Payment,9,Pune,Pune,Mac,0,2252,2203.06,3406.26,-1334.0,0.61,3,2,0,0,0.0076,0,1,Low
TXN100156,CUST004,21,3774.86,Bill Payment,11,Pune,Pune,Mac,0,2252,2072.27,3293.14,481.72,1.15,4,2,0,0,0.0166,0,2,Low
TXN100157,CUST004,22,4411.36,ATM Withdrawal,14,Pune,Pune,Mac,0,2252,3774.86,2784.13,1627.22,1.58,1,0,0,0,0.007,0,1,Low
TXN100158,CUST004,23,940.17,ATM Withdrawal,6,Pune,Pune,Mac,0,2252,4411.36,2901.13,-1960.95,0.32,0,0,0,0,0.0091,0,1,Low
TXN100159,CUST004,24,3661.3,Purchase,12,Pune,Pune,Mac,0,2252,940.17,2496.99,1164.31,1.47,2,0,0,0,0.0095,0,1,Low
TXN100160,CUST004,25,2279.23,ATM Withdrawal,18,Pune,Pune,Mac,0,2252,3661.3,2236.9,42.33,1.02,1,0,0,0,0.0096,0,1,Low
TXN100161,CUST004,26,4833.45,Bill Payment,22,Pune,Pune,Mac,0,2252,2279.23,2303.7,2529.75,2.1,3,0,0,0,0.009,0,1,Low
TXN100162,CUST004,27,1925.87,Transfer,7,Pune,Pune,Windows,1,2252,4833.45,2625.83,-699.96,0.73,3,0,0,0,0.0303,0,3,Low
